category,Days,Month,Year,city
Unhealthy,6,6,2013,Beijing
Very Unhealthy,1,6,2013,Beijing
Hazardous,0,6,2013,Beijing
Good,12,7,2013,Beijing
Moderate,13,7,2013,Beijing
Unhealthy for Sensitive Groups,6,7,2013,Beijing
Unhealthy,0,7,2013,Beijing
Very Unhealthy,0,7,2013,Beijing
Hazardous,0,7,2013,Beijing
Good,14,8,2013,Beijing
Moderate,11,8,2013,Beijing
Unhealthy for Sensitive Groups,6,8,2013,Beijing
Unhealthy,0,8,2013,Beijing
Very Unhealthy,0,8,2013,Beijing
Hazardous,0,8,2013,Beijing
Good,6,9,2013,Beijing
Moderate,13,9,2013,Beijing
Unhealthy for Sensitive Groups,7,9,2013,Beijing
Unhealthy,2,9,2013,Beijing
Very Unhealthy,2,9,2013,Beijing
Hazardous,0,9,2013,Beijing
Good,8,10,2013,Beijing
Moderate,12,10,2013,Beijing
Unhealthy for Sensitive Groups,3,10,2013,Beijing
Unhealthy,3,10,2013,Beijing
Very Unhealthy,3,10,2013,Beijing
Hazardous,2,10,2013,Beijing
Good,13,11,2013,Beijing
Moderate,7,11,2013,Beijing
Unhealthy for Sensitive Groups,3,11,2013,Beijing
Unhealthy,3,11,2013,Beijing
Very Unhealthy,4,11,2013,Beijing
Hazardous,0,11,2013,Beijing
Good,12,12,2013,Beijing
Moderate,9,12,2013,Beijing
Unhealthy for Sensitive Groups,3,12,2013,Beijing
Unhealthy,4,12,2013,Beijing
Very Unhealthy,1,12,2013,Beijing
Hazardous,2,12,2013,Beijing
Good,6,1,2012,Beijing
Moderate,10,1,2012,Beijing
Unhealthy for Sensitive Groups,5,1,2012,Beijing
Unhealthy,4,1,2012,Beijing
Very Unhealthy,1,1,2012,Beijing
Hazardous,3,1,2012,Beijing
Good,12,2,2012,Beijing
Moderate,6,2,2012,Beijing
Unhealthy for Sensitive Groups,6,2,2012,Beijing
Unhealthy,2,2,2012,Beijing
Very Unhealthy,3,2,2012,Beijing
Hazardous,0,2,2012,Beijing
Good,14,3,2012,Beijing
Moderate,3,3,2012,Beijing
Unhealthy for Sensitive Groups,7,3,2012,Beijing
Unhealthy,4,3,2012,Beijing
Very Unhealthy,3,3,2012,Beijing
Hazardous,0,3,2012,Beijing
Good,10,4,2012,Beijing
Moderate,9,4,2012,Beijing
Unhealthy for Sensitive Groups,5,4,2012,Beijing
Unhealthy,5,4,2012,Beijing
Very Unhealthy,1,4,2012,Beijing
Hazardous,0,4,2012,Beijing
Good,6,5,2012,Beijing
Moderate,11,5,2012,Beijing
Unhealthy for Sensitive Groups,9,5,2012,Beijing
Unhealthy,4,5,2012,Beijing
Very Unhealthy,0,5,2012,Beijing
Hazardous,0,5,2012,Beijing
Good,6,6,2012,Beijing
Moderate,10,6,2012,Beijing
Unhealthy for Sensitive Groups,7,6,2012,Beijing
Unhealthy,7,6,2012,Beijing
Very Unhealthy,0,6,2012,Beijing
Hazardous,0,6,2012,Beijing
Good,10,7,2012,Beijing
Moderate,12,7,2012,Beijing
Unhealthy for Sensitive Groups,5,7,2012,Beijing
Unhealthy,2,7,2012,Beijing
Very Unhealthy,1,7,2012,Beijing
Hazardous,0,7,2012,Beijing
Good,8,8,2012,Beijing
Moderate,12,8,2012,Beijing
Unhealthy for Sensitive Groups,4,8,2012,Beijing
Unhealthy,3,8,2012,Beijing
Very Unhealthy,1,8,2012,Beijing
Hazardous,0,8,2012,Beijing
Good,15,9,2012,Beijing
Moderate,7,9,2012,Beijing
Unhealthy for Sensitive Groups,7,9,2012,Beijing
Unhealthy,1,9,2012,Beijing
Very Unhealthy,0,9,2012,Beijing
Hazardous,0,9,2012,Beijing
Good,12,10,2012,Beijing
Moderate,6,10,2012,Beijing
Unhealthy for Sensitive Groups,6,10,2012,Beijing
Unhealthy,4,10,2012,Beijing
Very Unhealthy,3,10,2012,Beijing
Hazardous,0,10,2012,Beijing
Good,11,11,2012,Beijing
Moderate,7,11,2012,Beijing
Unhealthy for Sensitive Groups,8,11,2012,Beijing
Unhealthy,3,11,2012,Beijing
Very Unhealthy,1,11,2012,Beijing
Hazardous,0,11,2012,Beijing
Good,9,12,2012,Beijing
Moderate,7,12,2012,Beijing
Unhealthy for Sensitive Groups,3,12,2012,Beijing
Unhealthy,1,12,2012,Beijing
Very Unhealthy,7,12,2012,Beijing
Hazardous,0,12,2012,Beijing
Good,13,1,2012,Shanghai
Moderate,11,1,2012,Shanghai
Unhealthy for Sensitive Groups,5,1,2012,Shanghai
Unhealthy,0,1,2012,Shanghai
Very Unhealthy,0,1,2012,Shanghai
Hazardous,0,1,2012,Shanghai
Good,14,2,2012,Shanghai
Moderate,13,2,2012,Shanghai
Unhealthy for Sensitive Groups,0,2,2012,Shanghai
Unhealthy,0,2,2012,Shanghai
Very Unhealthy,0,2,2012,Shanghai
Hazardous,0,2,2012,Shanghai
Good,8,3,2012,Shanghai
Moderate,17,3,2012,Shanghai
Unhealthy for Sensitive Groups,2,3,2012,Shanghai
Unhealthy,1,3,2012,Shanghai
Very Unhealthy,0,3,2012,Shanghai
Hazardous,0,3,2012,Shanghai
Good,11,4,2012,Shanghai
Moderate,15,4,2012,Shanghai
Unhealthy for Sensitive Groups,0,4,2012,Shanghai
Unhealthy,0,4,2012,Shanghai
Very Unhealthy,0,4,2012,Shanghai
Hazardous,0,4,2012,Shanghai
Good,11,5,2012,Shanghai
Moderate,9,5,2012,Shanghai
Unhealthy for Sensitive Groups,1,5,2012,Shanghai
Unhealthy,0,5,2012,Shanghai
Very Unhealthy,0,5,2012,Shanghai
Hazardous,0,5,2012,Shanghai
Good,20,6,2012,Shanghai
Moderate,4,6,2012,Shanghai
Unhealthy for Sensitive Groups,3,6,2012,Shanghai
Unhealthy,0,6,2012,Shanghai
Very Unhealthy,0,6,2012,Shanghai
Hazardous,0,6,2012,Shanghai
Good,21,7,2012,Shanghai
Moderate,4,7,2012,Shanghai
Unhealthy for Sensitive Groups,0,7,2012,Shanghai
Unhealthy,0,7,2012,Shanghai
Very Unhealthy,0,7,2012,Shanghai
Hazardous,0,7,2012,Shanghai
Good,25,8,2012,Shanghai
Moderate,0,8,2012,Shanghai
Unhealthy for Sensitive Groups,0,8,2012,Shanghai
Unhealthy,0,8,2012,Shanghai
Very Unhealthy,0,8,2012,Shanghai
Hazardous,0,8,2012,Shanghai
Good,21,9,2012,Shanghai
Moderate,3,9,2012,Shanghai
Unhealthy for Sensitive Groups,3,9,2012,Shanghai
Unhealthy,0,9,2012,Shanghai
Very Unhealthy,0,9,2012,Shanghai
Hazardous,0,9,2012,Shanghai
Good,17,10,2012,Shanghai
Moderate,5,10,2012,Shanghai
Unhealthy for Sensitive Groups,2,10,2012,Shanghai
Unhealthy,0,10,2012,Shanghai
Very Unhealthy,1,10,2012,Shanghai
Hazardous,0,10,2012,Shanghai
Good,12,11,2012,Shanghai
Moderate,10,11,2012,Shanghai
Unhealthy for Sensitive Groups,5,11,2012,Shanghai
Unhealthy,1,11,2012,Shanghai
Very Unhealthy,0,11,2012,Shanghai
Hazardous,0,11,2012,Shanghai
Good,8,12,2012,Shanghai
Moderate,19,12,2012,Shanghai
Unhealthy for Sensitive Groups,2,12,2012,Shanghai
Unhealthy,1,12,2012,Shanghai
Very Unhealthy,0,12,2012,Shanghai
Hazardous,0,12,2012,Shanghai
Good,5,1,2013,Shanghai
Moderate,7,1,2013,Shanghai
Unhealthy for Sensitive Groups,9,1,2013,Shanghai
Unhealthy,4,1,2013,Shanghai
Very Unhealthy,2,1,2013,Shanghai
Hazardous,0,1,2013,Shanghai
Good,10,2,2013,Shanghai
Moderate,15,2,2013,Shanghai
Unhealthy for Sensitive Groups,0,2,2013,Shanghai
Unhealthy,2,2,2013,Shanghai
Very Unhealthy,0,2,2013,Shanghai
Hazardous,0,2,2013,Shanghai
Good,11,3,2013,Shanghai
Moderate,14,3,2013,Shanghai
Unhealthy for Sensitive Groups,5,3,2013,Shanghai
Unhealthy,0,3,2013,Shanghai
Very Unhealthy,0,3,2013,Shanghai
Hazardous,0,3,2013,Shanghai
Good,9,4,2013,Shanghai
Moderate,20,4,2013,Shanghai
Unhealthy for Sensitive Groups,0,4,2013,Shanghai
Unhealthy,0,4,2013,Shanghai
Very Unhealthy,0,4,2013,Shanghai
Hazardous,0,4,2013,Shanghai
Good,20,5,2013,Shanghai
Moderate,8,5,2013,Shanghai
Unhealthy for Sensitive Groups,3,5,2013,Shanghai
Unhealthy,0,5,2013,Shanghai
Very Unhealthy,0,5,2013,Shanghai
Hazardous,0,5,2013,Shanghai
Good,18,6,2013,Shanghai
Moderate,10,6,2013,Shanghai
Unhealthy for Sensitive Groups,2,6,2013,Shanghai
Unhealthy,0,6,2013,Shanghai
Very Unhealthy,0,6,2013,Shanghai
Hazardous,0,6,2013,Shanghai
Good,28,7,2013,Shanghai
Moderate,3,7,2013,Shanghai
Unhealthy for Sensitive Groups,0,7,2013,Shanghai
Unhealthy,0,7,2013,Shanghai
Very Unhealthy,0,7,2013,Shanghai
Hazardous,0,7,2013,Shanghai
Good,27,8,2013,Shanghai
Moderate,4,8,2013,Shanghai
Unhealthy for Sensitive Groups,0,8,2013,Shanghai
Unhealthy,0,8,2013,Shanghai
Very Unhealthy,0,8,2013,Shanghai
Hazardous,0,8,2013,Shanghai
Good,27,9,2013,Shanghai
Moderate,1,9,2013,Shanghai
Unhealthy for Sensitive Groups,0,9,2013,Shanghai
Unhealthy,0,9,2013,Shanghai
Very Unhealthy,0,9,2013,Shanghai
Hazardous,0,9,2013,Shanghai
Good,25,10,2013,Shanghai
Moderate,6,10,2013,Shanghai
Unhealthy for Sensitive Groups,0,10,2013,Shanghai
Unhealthy,0,10,2013,Shanghai
Very Unhealthy,0,10,2013,Shanghai
Hazardous,0,10,2013,Shanghai
Good,6,11,2013,Shanghai
Moderate,17,11,2013,Shanghai
Unhealthy for Sensitive Groups,5,11,2013,Shanghai
Unhealthy,2,11,2013,Shanghai
Very Unhealthy,0,11,2013,Shanghai
Hazardous,0,11,2013,Shanghai
Good,2,12,2013,Shanghai
Moderate,12,12,2013,Shanghai
Unhealthy for Sensitive Groups,9,12,2013,Shanghai
Unhealthy,4,12,2013,Shanghai
Very Unhealthy,3,12,2013,Shanghai
Hazardous,1,12,2013,Shanghai
Good,14,1,2014,Shanghai
Moderate,10,1,2014,Shanghai
Unhealthy for Sensitive Groups,4,1,2014,Shanghai
Unhealthy,3,1,2014,Shanghai
Very Unhealthy,0,1,2014,Shanghai
Hazardous,0,1,2014,Shanghai
Good,16,2,2014,Shanghai
Moderate,10,2,2014,Shanghai
Unhealthy for Sensitive Groups,1,2,2014,Shanghai
Unhealthy,1,2,2014,Shanghai
Very Unhealthy,0,2,2014,Shanghai
Hazardous,0,2,2014,Shanghai
Good,16,3,2014,Shanghai
Moderate,13,3,2014,Shanghai
Unhealthy for Sensitive Groups,2,3,2014,Shanghai
Unhealthy,0,3,2014,Shanghai
Very Unhealthy,0,3,2014,Shanghai
Hazardous,0,3,2014,Shanghai
Good,16,4,2014,Shanghai
Moderate,13,4,2014,Shanghai
Unhealthy for Sensitive Groups,1,4,2014,Shanghai
Unhealthy,0,4,2014,Shanghai
Very Unhealthy,0,4,2014,Shanghai
Hazardous,0,4,2014,Shanghai
Good,13,5,2014,Shanghai
Moderate,16,5,2014,Shanghai
Unhealthy for Sensitive Groups,2,5,2014,Shanghai
Unhealthy,0,5,2014,Shanghai
Very Unhealthy,0,5,2014,Shanghai
Hazardous,0,5,2014,Shanghai
Good,22,6,2014,Shanghai
Moderate,8,6,2014,Shanghai
Unhealthy for Sensitive Groups,0,6,2014,Shanghai
Unhealthy,0,6,2014,Shanghai
Very Unhealthy,0,6,2014,Shanghai
Hazardous,0,6,2014,Shanghai
Good,25,7,2014,Shanghai
Moderate,6,7,2014,Shanghai
Unhealthy for Sensitive Groups,0,7,2014,Shanghai
Unhealthy,0,7,2014,Shanghai
Very Unhealthy,0,7,2014,Shanghai
Hazardous,0,7,2014,Shanghai
Good,29,8,2014,Shanghai
Moderate,2,8,2014,Shanghai
Unhealthy for Sensitive Groups,0,8,2014,Shanghai
Unhealthy,0,8,2014,Shanghai
Very Unhealthy,0,8,2014,Shanghai
Hazardous,0,8,2014,Shanghai
Good,27,9,2014,Shanghai
Moderate,3,9,2014,Shanghai
Unhealthy for Sensitive Groups,0,9,2014,Shanghai
Unhealthy,0,9,2014,Shanghai
Very Unhealthy,0,9,2014,Shanghai
Hazardous,0,9,2014,Shanghai
Good,24,10,2014,Shanghai
Moderate,7,10,2014,Shanghai
Unhealthy for Sensitive Groups,0,10,2014,Shanghai
Unhealthy,0,10,2014,Shanghai
Very Unhealthy,0,10,2014,Shanghai
Hazardous,0,10,2014,Shanghai
Good,19,11,2014,Shanghai
Moderate,8,11,2014,Shanghai
Unhealthy for Sensitive Groups,3,11,2014,Shanghai
Unhealthy,0,11,2014,Shanghai
Very Unhealthy,0,11,2014,Shanghai
Hazardous,0,11,2014,Shanghai
Good,5,12,2014,Shanghai
Moderate,21,12,2014,Shanghai
Unhealthy for Sensitive Groups,5,12,2014,Shanghai
Unhealthy,0,12,2014,Shanghai
Very Unhealthy,0,12,2014,Shanghai
Hazardous,0,12,2014,Shanghai
Good,9,1,2015,Shanghai
Moderate,11,1,2015,Shanghai
Unhealthy for Sensitive Groups,8,1,2015,Shanghai
Unhealthy,3,1,2015,Shanghai
Very Unhealthy,0,1,2015,Shanghai
Hazardous,0,1,2015,Shanghai
Good,12,2,2015,Shanghai
Moderate,10,2,2015,Shanghai
Unhealthy for Sensitive Groups,4,2,2015,Shanghai
Unhealthy,2,2,2015,Shanghai
Very Unhealthy,0,2,2015,Shanghai
Hazardous,0,2,2015,Shanghai
Good,16,3,2015,Shanghai
Moderate,15,3,2015,Shanghai
Unhealthy for Sensitive Groups,0,3,2015,Shanghai
Unhealthy,0,3,2015,Shanghai
Very Unhealthy,0,3,2015,Shanghai
Hazardous,0,3,2015,Shanghai
Good,15,4,2015,Shanghai
Moderate,14,4,2015,Shanghai
Unhealthy for Sensitive Groups,1,4,2015,Shanghai
Unhealthy,0,4,2015,Shanghai
Very Unhealthy,0,4,2015,Shanghai
Hazardous,0,4,2015,Shanghai
Good,26,5,2015,Shanghai
Moderate,5,5,2015,Shanghai
Unhealthy for Sensitive Groups,0,5,2015,Shanghai
Unhealthy,0,5,2015,Shanghai
Very Unhealthy,0,5,2015,Shanghai
Hazardous,0,5,2015,Shanghai
Good,24,6,2015,Shanghai
Moderate,6,6,2015,Shanghai
Unhealthy for Sensitive Groups,0,6,2015,Shanghai
Unhealthy,0,6,2015,Shanghai
Very Unhealthy,0,6,2015,Shanghai
Hazardous,0,6,2015,Shanghai
Good,25,7,2015,Shanghai
Moderate,6,7,2015,Shanghai
Unhealthy for Sensitive Groups,0,7,2015,Shanghai
Unhealthy,0,7,2015,Shanghai
Very Unhealthy,0,7,2015,Shanghai
Hazardous,0,7,2015,Shanghai
Good,24,8,2015,Shanghai
Moderate,6,8,2015,Shanghai
Unhealthy for Sensitive Groups,0,8,2015,Shanghai
Unhealthy,0,8,2015,Shanghai
Very Unhealthy,0,8,2015,Shanghai
Hazardous,0,8,2015,Shanghai
Good,27,9,2015,Shanghai
Moderate,3,9,2015,Shanghai
Unhealthy for Sensitive Groups,0,9,2015,Shanghai
Unhealthy,0,9,2015,Shanghai
Very Unhealthy,0,9,2015,Shanghai
Hazardous,0,9,2015,Shanghai
Good,24,10,2015,Shanghai
Moderate,5,10,2015,Shanghai
Unhealthy for Sensitive Groups,0,10,2015,Shanghai
Unhealthy,0,10,2015,Shanghai
Very Unhealthy,0,10,2015,Shanghai
Hazardous,0,10,2015,Shanghai
Good,17,11,2015,Shanghai
Moderate,9,11,2015,Shanghai
Unhealthy for Sensitive Groups,4,11,2015,Shanghai
Unhealthy,0,11,2015,Shanghai
Very Unhealthy,0,11,2015,Shanghai
Hazardous,0,11,2015,Shanghai
Good,7,12,2015,Shanghai
Moderate,17,12,2015,Shanghai
Unhealthy for Sensitive Groups,4,12,2015,Shanghai
Unhealthy,2,12,2015,Shanghai
Very Unhealthy,1,12,2015,Shanghai
Hazardous,0,12,2015,Shanghai
Good,13,1,2016,Shanghai
Moderate,10,1,2016,Shanghai
Unhealthy for Sensitive Groups,7,1,2016,Shanghai
Unhealthy,1,1,2016,Shanghai
Very Unhealthy,0,1,2016,Shanghai
Hazardous,0,1,2016,Shanghai
Good,11,2,2016,Shanghai
Moderate,17,2,2016,Shanghai
Unhealthy for Sensitive Groups,1,2,2016,Shanghai
Unhealthy,0,2,2016,Shanghai
Very Unhealthy,0,2,2016,Shanghai
Hazardous,0,2,2016,Shanghai
Good,13,3,2016,Shanghai
Moderate,16,3,2016,Shanghai
Unhealthy for Sensitive Groups,1,3,2016,Shanghai
Unhealthy,0,3,2016,Shanghai
Very Unhealthy,0,3,2016,Shanghai
Hazardous,0,3,2016,Shanghai
Good,13,4,2016,Shanghai
Moderate,16,4,2016,Shanghai
Unhealthy for Sensitive Groups,1,4,2016,Shanghai
Unhealthy,0,4,2016,Shanghai
Very Unhealthy,0,4,2016,Shanghai
Hazardous,0,4,2016,Shanghai
Good,19,5,2016,Shanghai
Moderate,12,5,2016,Shanghai
Unhealthy for Sensitive Groups,0,5,2016,Shanghai
Unhealthy,0,5,2016,Shanghai
Very Unhealthy,0,5,2016,Shanghai
Hazardous,0,5,2016,Shanghai
Good,27,6,2016,Shanghai
Moderate,3,6,2016,Shanghai
Unhealthy for Sensitive Groups,0,6,2016,Shanghai
Unhealthy,0,6,2016,Shanghai
Very Unhealthy,0,6,2016,Shanghai
Hazardous,0,6,2016,Shanghai
Good,26,7,2016,Shanghai
Moderate,5,7,2016,Shanghai
Unhealthy for Sensitive Groups,0,7,2016,Shanghai
Unhealthy,0,7,2016,Shanghai
Very Unhealthy,0,7,2016,Shanghai
Hazardous,0,7,2016,Shanghai
Good,31,8,2016,Shanghai
Moderate,0,8,2016,Shanghai
Unhealthy for Sensitive Groups,0,8,2016,Shanghai
